source_id,relation,target_id
API:CUBLAS_ATOMICS_ALLOWED,MAPS_TO,API:HIPBLAS_ATOMICS_ALLOWED
API:CUBLAS_ATOMICS_NOT_ALLOWED,MAPS_TO,API:HIPBLAS_ATOMICS_NOT_ALLOWED
API:CUBLAS_DIAG_NON_UNIT,MAPS_TO,API:HIPBLAS_DIAG_NON_UNIT
API:CUBLAS_DIAG_UNIT,MAPS_TO,API:HIPBLAS_DIAG_UNIT
API:CUBLAS_FILL_MODE_FULL,MAPS_TO,API:HIPBLAS_FILL_MODE_FULL
API:CUBLAS_FILL_MODE_LOWER,MAPS_TO,API:HIPBLAS_FILL_MODE_LOWER
API:CUBLAS_FILL_MODE_UPPER,MAPS_TO,API:HIPBLAS_FILL_MODE_UPPER
API:CUBLAS_OP_C,MAPS_TO,API:HIPBLAS_OP_C
API:CUBLAS_OP_HERMITAN,MAPS_TO,API:HIPBLAS_OP_C
API:CUBLAS_OP_N,MAPS_TO,API:HIPBLAS_OP_N
API:CUBLAS_OP_T,MAPS_TO,API:HIPBLAS_OP_T
API:CUBLAS_POINTER_MODE_DEVICE,MAPS_TO,API:HIPBLAS_POINTER_MODE_DEVICE
API:CUBLAS_POINTER_MODE_HOST,MAPS_TO,API:HIPBLAS_POINTER_MODE_HOST
API:CUBLAS_SIDE_LEFT,MAPS_TO,API:HIPBLAS_SIDE_LEFT
API:CUBLAS_SIDE_RIGHT,MAPS_TO,API:HIPBLAS_SIDE_RIGHT
API:CUBLAS_STATUS_ALLOC_FAILED,MAPS_TO,API:HIPBLAS_STATUS_ALLOC_FAILED
API:CUBLAS_STATUS_ARCH_MISMATCH,MAPS_TO,API:HIPBLAS_STATUS_ARCH_MISMATCH
API:CUBLAS_STATUS_EXECUTION_FAILED,MAPS_TO,API:HIPBLAS_STATUS_EXECUTION_FAILED
API:CUBLAS_STATUS_INTERNAL_ERROR,MAPS_TO,API:HIPBLAS_STATUS_INTERNAL_ERROR
API:CUBLAS_STATUS_INVALID_VALUE,MAPS_TO,API:HIPBLAS_STATUS_INVALID_VALUE
API:CUBLAS_STATUS_MAPPING_ERROR,MAPS_TO,API:HIPBLAS_STATUS_MAPPING_ERROR
API:CUBLAS_STATUS_NOT_INITIALIZED,MAPS_TO,API:HIPBLAS_STATUS_NOT_INITIALIZED
API:CUBLAS_STATUS_NOT_SUPPORTED,MAPS_TO,API:HIPBLAS_STATUS_NOT_SUPPORTED
API:CUBLAS_STATUS_SUCCESS,MAPS_TO,API:HIPBLAS_STATUS_SUCCESS
API:CUFFT_ALLOC_FAILED,MAPS_TO,API:HIPFFT_ALLOC_FAILED
API:CUFFT_C2C,MAPS_TO,API:HIPFFT_C2C
API:CUFFT_C2R,MAPS_TO,API:HIPFFT_C2R
API:CUFFT_CB_LD_COMPLEX,MAPS_TO,API:HIPFFT_CB_LD_COMPLEX
API:CUFFT_CB_LD_COMPLEX_DOUBLE,MAPS_TO,API:HIPFFT_CB_LD_COMPLEX_DOUBLE
API:CUFFT_CB_LD_REAL,MAPS_TO,API:HIPFFT_CB_LD_REAL
API:CUFFT_CB_LD_REAL_DOUBLE,MAPS_TO,API:HIPFFT_CB_LD_REAL_DOUBLE
API:CUFFT_CB_ST_COMPLEX,MAPS_TO,API:HIPFFT_CB_ST_COMPLEX
API:CUFFT_CB_ST_COMPLEX_DOUBLE,MAPS_TO,API:HIPFFT_CB_ST_COMPLEX_DOUBLE
API:CUFFT_CB_ST_REAL,MAPS_TO,API:HIPFFT_CB_ST_REAL
API:CUFFT_CB_ST_REAL_DOUBLE,MAPS_TO,API:HIPFFT_CB_ST_REAL_DOUBLE
API:CUFFT_CB_UNDEFINED,MAPS_TO,API:HIPFFT_CB_UNDEFINED
API:CUFFT_D2Z,MAPS_TO,API:HIPFFT_D2Z
API:CUFFT_EXEC_FAILED,MAPS_TO,API:HIPFFT_EXEC_FAILED
API:CUFFT_FORWARD,MAPS_TO,API:HIPFFT_FORWARD
API:CUFFT_INCOMPLETE_PARAMETER_LIST,MAPS_TO,API:HIPFFT_INCOMPLETE_PARAMETER_LIST
API:CUFFT_INTERNAL_ERROR,MAPS_TO,API:HIPFFT_INTERNAL_ERROR
API:CUFFT_INVALID_DEVICE,MAPS_TO,API:HIPFFT_INVALID_DEVICE
API:CUFFT_INVALID_PLAN,MAPS_TO,API:HIPFFT_INVALID_PLAN
API:CUFFT_INVALID_SIZE,MAPS_TO,API:HIPFFT_INVALID_SIZE
API:CUFFT_INVALID_TYPE,MAPS_TO,API:HIPFFT_INVALID_TYPE
API:CUFFT_INVALID_VALUE,MAPS_TO,API:HIPFFT_INVALID_VALUE
API:CUFFT_INVERSE,MAPS_TO,API:HIPFFT_BACKWARD
API:CUFFT_NOT_IMPLEMENTED,MAPS_TO,API:HIPFFT_NOT_IMPLEMENTED
API:CUFFT_NOT_SUPPORTED,MAPS_TO,API:HIPFFT_NOT_SUPPORTED
API:CUFFT_NO_WORKSPACE,MAPS_TO,API:HIPFFT_NO_WORKSPACE
API:CUFFT_PARSE_ERROR,MAPS_TO,API:HIPFFT_PARSE_ERROR
API:CUFFT_R2C,MAPS_TO,API:HIPFFT_R2C
API:CUFFT_SETUP_FAILED,MAPS_TO,API:HIPFFT_SETUP_FAILED
API:CUFFT_SUCCESS,MAPS_TO,API:HIPFFT_SUCCESS
